 TOT   INH   IND
64.4  31.4   2.3  Chess inCheck (14211193)
21.5  21.5  13.3  Chess $sel:apply:Dir (464259109)
99.6  11.4     -  GameRunner searchTo (9)
 8.2   8.2   8.1  Chess indexToColor2 (355414605)
84.8   6.7    .3  Chess legalMoves' (540947)
 5.5   5.5   5.5  Chess isEmptyGrid (131689375)
 4.6   4.6   2.9  Chess movePiece' (14389476)
 3.1   2.2    .8  Chess allowableMultiMoves (1941592)
 3.7   1.7   1.5  Chess allowableSingleMoves (4384610)
 2.9   1.3   1.1  Chess dirLocsSingle (20904386)
 1.1   1.1   1.1  Chess onBoard (397480461)
 1.1   1.1   1.1  Chess indexToPiece (27852084)
 1.0   1.0     -  Chess ztnDeepDescend (0)
  .7    .7    .7  Chess filterLocsByChar (1307727)
99.9    .4     -  MAIN MAIN (0)
  .9    .3    .3  Chess updateKingLocs (14049410)
  .6    .3    .2  Chess castlingStatus (540939)
  .4    .3    .1  Strat.ZipTree maxLoop (234186)
  .6    .2     -  Chess multiMoveMobility (1017092)
  .4    .1    .1  Strat.ZipTree minLoop (22966)


64.4  31.4   2.3  Chess inCheck (14211193)
32.4  15.3   6.7    Chess singleMoveCaptureLocs (40573383)
25.9   8.8   8.6      Chess dirCaptureLocSingle (244021344)
13.0     -     -        Chess $sel:apply:Dir (244021344)
 3.7     -     -        Chess indexToColor2 (153601916)
  .4     -     -        Chess onBoard (232135920)
29.0  13.1   1.9    Chess multiMoveCaptureLocs (27929337)
27.0  11.1  10.8      Chess dirCaptureLoc (111717348)
 6.7     -     -        Chess $sel:apply:Dir (176181334)
 5.1     -     -        Chess isEmptyGrid (124125820)
 3.4     -     -        Chess indexToColor2 (176181334)
  .7     -     -        Chess onBoard (165344541)
  .2    .2    .2        Chess enemyColor (106242460)
  .5    .5    .2    Chess matchesChar (77932599)
  .3    .3    .3      Chess indexToChar (6835899)
  .1    .1    .1    Chess flipPieceColor (3229901)


21.5  21.5  13.3  Chess $sel:apply:Dir (464259109)
 2.1   2.1    .2    Chess knightDirs (0)
  .5    .5    .5      Chess knightLU (0)
  .4    .4    .4      Chess knightLD (0)
  .4    .4    .4      Chess knightRD (0)
  .3    .3    .3      Chess knightRU (0)
  .9    .9    .9    Chess diagUL (0)
  .6    .6    .6    Chess diagUR (0)
  .6    .6    .6    Chess up (0)
  .5    .5    .5    Chess diagDL (0)
  .5    .5    .5    Chess diagDR (0)
  .4    .4    .4    Chess down (0)
  .4    .4    .4    Chess left (0)
  .4    .4    .4    Chess right (0)
  .3    .3    .3    Chess knightDR (0)
  .3    .3    .3    Chess knightUL (0)
  .3    .3    .3    Chess knightUR (0)
  .2    .2    .2    Chess knightDL (0)


99.6  11.4     -  GameRunner searchTo (9)
99.1  11.3     -    GameRunner expandTree (4)
99.1  11.3     -      Strat.ZipTree expandTo (4)
99.1  11.3   1.2        Strat.ZipTree decendUntil (12696828)
96.2   8.9    .1          Strat.ZipTree buildChildren (413302)
91.0   4.2     -            Chess ztnMakeChildren (0)
91.0   4.2    .8              Strat.Helpers makeChildren (413141)
83.6    .1     -                Chess possibleMoves (0)
83.6    .1     -                  Chess legalMoves (413141)
83.5     -     -                    Chess legalMoves' (413141)
 6.5   3.2    .2                Chess newNode (0)
 6.3   3.0    .8                  Chess calcNewNode (12693922)
 4.2   1.2    .1                    Chess evalPos (127806)
 1.6    .6     -                      Chess calcMobility (127798)
 1.6    .6    .1                        Chess moveCountFromLocs (255596)
 1.5    .5    .2                          Chess moveCountFromLoc (4042884)
  .5    .2     -                            Chess knightMobility (0)
  .5    .2    .1                              Chess singleMoveMobility (500284)
  .4    .1    .1                                Chess dirLocsSingleCount (4002272)
  .2     -     -                                  Chess $sel:apply:Dir (4002272)
  .1     -     -                                  Chess isEmptyGrid (2870995)
  .3     -     -                            Chess rookMobility (0)
  .3     -     -                              Chess multiMoveMobility (510793)
  .3     -     -                            Chess bishopMobility (0)
  .3     -     -                              Chess multiMoveMobility (506299)
  .1     -     -                            Chess indexToPiece (4042884)
 1.3     -     -                      Chess checkFinal' (127806)
 1.3     -     -                        Chess legalMoves' (127806)
  .5    .4    .3                      Chess calcPawnPositionScore (127798)
  .1     -     -                        Chess indexToPiece (4042884)
  .2    .2    .2                      Chess countMaterial (127798)
  .2     -     -                      Chess calcDevelopment (127798)
  .1     -     -                        Chess whiteDev (127798)
  .1     -     -                          Chess filterLocsByChar (255596)
  .1     -     -                        Chess blackDev (127798)
  .1     -     -                          Chess filterLocsByChar (255596)
  .2     -     -                      Chess calcCastling (127798)
